"mon_feature_id","date_time","sample_begin_depth","institution_abbr","preservative_abbr","Ca_Diss_Water","Cl_Diss_Water","DMS_Tot_Water","EC_Phys_Water","F_Diss_Water","K_Diss_Water","Mg_Diss_Water","Na_Diss_Water","NH4_N_Diss_Water","NO3_NO2_N_Diss_Water","P_Tot_Water","pH_Diss_Water","PO4_P_Diss_Water","Si_Diss_Water","SO4_Diss_Water","TAL_Diss_Water","Station","Qat"
101975,1979-11-21 10:10:00,0,"DWS-RQIS","NONE",9.7,73.9,180,35.2,0.05,4.04,7.5,43.2,0.02,0.79,,6.7,0.161,5.22,2,30.8,"G2H015Q01","G22H"
101975,1979-12-05 11:25:00,0,"DWS-RQIS","NONE",16.1,137.5,366,102,0.24,7.34,13.8,79.6,0.02,2.79,,6.8,0.231,3.42,22.6,61.9,"G2H015Q01","G22H"
101975,1979-12-11 16:40:00,0,"DWS-RQIS","NONE",19.6,192.2,480,81.2,0.33,8.22,19.9,110.1,0.02,2.75,,6.88,0.12,3.71,27.5,73.5,"G2H015Q01","G22H"
101975,1979-12-19 10:50:00,0,"DWS-RQIS","NONE",41.4,473.3,1026,184.5,0.33,8.56,41.8,247.7,0.02,0.25,,6.82,0.012,2.48,64.7,120.9,"G2H015Q01","G22H"
101975,1979-12-26 10:06:00,0,"DWS-RQIS","NONE",41.7,531.6,1113,204.8,0.4,11.56,46.4,277.1,0.02,0.07,,6.76,0.017,1.81,71.2,109.2,"G2H015Q01","G22H"
101975,1980-01-02 10:45:00,0,"DWS-RQIS","NONE",42.3,480,1028,181.2,0.3,8.39,43.2,265.5,0.02,0.02,,7.23,0.01,1.4,58.7,106,"G2H015Q01","G22H"
101975,1980-01-09 10:20:00,0,"DWS-RQIS","NONE",12.4,96.6,244,46.2,0.25,4.78,9.5,55.5,0.02,0.02,,6.65,0.117,4.38,14.2,41.2,"G2H015Q01","G22H"
101975,1980-01-16 15:45:00,0,"DWS-RQIS","NONE",26.8,278.1,604,111.7,0.2,6.33,27.8,145.8,0.02,0.24,,7,0.038,3.7,36.2,67.2,"G2H015Q01","G22H"
101975,1980-01-22 17:15:00,0,"DWS-RQIS","NONE",34.5,404.2,855,157.9,0.23,6.69,39.8,212.3,0.02,0.02,,7.08,0.011,3.13,46.2,91.4,"G2H015Q01","G22H"
101975,1980-01-30 08:45:00,0,"DWS-RQIS","NONE",40.4,449.9,997,180.4,0.27,6.61,42.8,261.2,0.02,0.02,,7.3,0.029,1.71,64.8,107,"G2H015Q01","G22H"
101975,1980-02-06 08:00:00,0,"DWS-RQIS","NONE",43.1,463.7,1007,182,0.35,7.24,42.3,253.4,0.04,0.02,,7.2,0.034,1.71,50,120.3,"G2H015Q01","G22H"
101975,1980-02-13 07:40:00,0,"DWS-RQIS","NONE",62.8,431.1,964,166.8,0.35,10.28,29.4,216.2,0.05,0.02,,7.29,0.065,4.62,50.9,133.5,"G2H015Q01","G22H"
101975,1980-02-20 07:55:00,0,"DWS-RQIS","NONE",24.4,285.2,621,114.7,0.29,6.99,25,154.8,0.04,0.02,,7.08,0.098,3.66,33.4,74.2,"G2H015Q01","G22H"
101975,1980-02-27 15:55:00,0,"DWS-RQIS","NONE",23.7,260,588,105.9,0.27,6.61,24.3,142.1,0.02,0.02,,6.7,0.053,3.5,26.2,85.9,"G2H015Q01","G22H"
101975,1980-03-05 07:50:00,0,"DWS-RQIS","NONE",27.7,342.7,740,127.7,0.29,7.06,29.3,178.2,0.02,0.02,,6.97,0.024,3.6,33,99.4,"G2H015Q01","G22H"
101975,1980-03-12 07:55:00,0,"DWS-RQIS","NONE",41.3,494.8,1055,186.1,0.38,7.72,40.2,270.8,0.02,0.02,,6.97,0.048,3.51,46.2,125.8,"G2H015Q01","G22H"
101975,1980-03-19 08:10:00,0,"DWS-RQIS","NONE",56.3,653.4,1396,246.5,0.48,10.51,52.6,376.4,0.02,0.05,,7,0.093,4.33,60.5,152,"G2H015Q01","G22H"
101975,1980-03-26 07:41:00,0,"DWS-RQIS","NONE",49.6,672.7,1435,263.2,0.55,11.78,59.4,388.7,0.02,0.02,,7.26,0.047,5.44,70.3,149.1,"G2H015Q01","G22H"
101975,1980-04-03 06:34:00,0,"DWS-RQIS","NONE",46.1,621,1259,224,0.48,10.52,52.2,323.3,0.04,0.02,,7.2,0.036,4.54,54.2,124.2,"G2H015Q01","G22H"
101975,1980-04-09 07:15:00,0,"DWS-RQIS","NONE",9.6,57.9,157,29.6,0.05,5.45,5.5,33.3,0.02,0.02,,6.62,0.209,3.38,12.1,26.8,"G2H015Q01","G22H"
101975,1980-04-16 08:25:00,0,"DWS-RQIS","NONE",4.6,25.7,77,12.6,0.18,3.08,2,14.5,0.02,0.04,,6.12,0.198,2.63,2,19,"G2H015Q01","G22H"
101975,1980-04-22 18:25:00,0,"DWS-RQIS","NONE",11.8,93.9,232,37.4,0.23,8.61,7.9,53,0.02,0.15,,6.21,0.306,5.72,12.2,34.7,"G2H015Q01","G22H"
101975,1980-04-29 13:34:00,0,"DWS-RQIS","NONE",13.2,94.9,267,48.9,0.3,12.24,7.9,58.1,0.05,0.27,,6.76,0.594,5.04,14.1,51.5,"G2H015Q01","G22H"
101975,1980-05-07 08:35:00,0,"DWS-RQIS","NONE",12.4,74.2,261,46.2,0.22,24.55,7.3,48.8,0.04,0.56,,7,2.222,6.15,9.1,61.4,"G2H015Q01","G22H"
101975,1980-05-14 07:45:00,0,"DWS-RQIS","NONE",10.7,47.3,157,28.8,0.14,13.2,4.6,27.5,0.02,0.4,,6.32,0.677,4,11.8,30.7,"G2H015Q01","G22H"
101975,1980-05-21 07:30:00,0,"DWS-RQIS","NONE",8.9,49.3,149,27.5,0.05,7.39,4.8,30.6,0.02,0.31,,6.12,0.532,4.84,9.1,29,"G2H015Q01","G22H"
101975,1980-05-28 06:50:00,0,"DWS-RQIS","NONE",7.1,32.2,93,16.6,0.13,3.74,3.8,17.9,0.02,0.19,,6.2,0.178,3.12,7.7,15.9,"G2H015Q01","G22H"
101975,1990-09-25 16:00:00,0,"DWS-RQIS","HGCL2",13.8,87,251,42.9,0.25,6.86,9.9,50.9,0.073,2.37,,7.64,0.17,5.8,16.7,44.9,"G2H015Q01","G22H"
101975,1990-10-02 16:10:00,0,"DWS-RQIS","HGCL2",15.4,102.7,289,49.2,0.27,7.57,11.5,59.2,0.115,2.535,,7.86,0.201,7.07,19.3,50.1,"G2H015Q01","G22H"
101975,1990-10-09 15:15:00,0,"DWS-RQIS","HGCL2",14.3,98.7,281,48,0.26,6.85,10.5,58.1,0.111,2.675,,7.79,0.733,6.92,18.9,48.4,"G2H015Q01","G22H"
101975,1990-10-16 14:35:00,0,"DWS-RQIS","HGCL2",9.2,60.9,168,29.7,0.23,5.04,6.5,34.3,0.104,1.195,,7.38,0.101,4.62,10.5,29.2,"G2H015Q01","G22H"
101975,1990-10-23 15:20:00,0,"DWS-RQIS","HGCL2",15,91.2,268,42.4,0.29,7.21,9.1,54.6,0.085,2.862,,7.9,0.791,6.01,18.1,47.1,"G2H015Q01","G22H"
101975,1990-10-30 14:50:00,0,"DWS-RQIS","HGCL2",21.1,131,405,65.6,0.28,11.03,13.1,84.3,0.086,5.972,,7.94,1.575,6.48,30.2,67.6,"G2H015Q01","G22H"
101975,1990-11-06 15:34:00,0,"DWS-RQIS","HGCL2",19.8,118.1,359,59.5,0.28,9.51,11.9,74.7,0.02,4.029,,7.71,1.378,5.92,27.8,61.4,"G2H015Q01","G22H"
101975,1990-11-13 08:00:00,0,"DWS-RQIS","HGCL2",19.5,88.6,340,65.2,0.26,11.92,10.4,67.6,0.058,5.986,,7.96,2.35,6.07,24,68.7,"G2H015Q01","G22H"
101975,1990-11-20 15:10:00,0,"DWS-RQIS","HGCL2",22.9,158.3,452,69.6,0.29,13.07,16.8,97.5,0.02,5.216,,8.34,1.002,4.65,37.7,65.2,"G2H015Q01","G22H"
101975,1990-11-27 16:40:00,0,"DWS-RQIS","HGCL2",29.4,248.4,652,105.5,0.36,12.99,21.2,148.9,0.046,2.918,,7.64,1.059,5.15,55.1,97.9,"G2H015Q01","G22H"
101975,1990-12-04 15:00:00,0,"DWS-RQIS","HGCL2",13.8,97.7,260.642,41.1,0.28,7.13,7.8,54.8,0.114,1.956,,7.53,0.931,4.06,14.8,43.2,"G2H015Q01","G22H"
101975,1990-12-11 15:30:00,0,"DWS-RQIS","HGCL2",11.6,83.1,237,35.1,0.28,6.42,7.7,52.1,0.1,1.51,,7.56,0.968,3.8,14.9,42,"G2H015Q01","G22H"
101975,1990-12-18 15:30:00,0,"DWS-RQIS","HGCL2",9.5,59,162,30.5,0.18,5.69,5.8,32.4,0.092,0.98,,7.47,0.548,3.44,11.2,26.3,"G2H015Q01","G22H"
101975,1990-12-25 13:40:00,0,"DWS-RQIS","HGCL2",3.3,15.4,54.548,10,0.14,1.14,2.2,8.8,0.02,0.02,,7.39,0.036,2.95,9.2,11.6,"G2H015Q01","G22H"
101975,1990-12-31 12:31:00,0,"DWS-RQIS","HGCL2",,,,37.4,,,,,,,,7.67,,,,,"G2H015Q01","G22H"
101975,1991-01-05 14:26:00,0,"DWS-RQIS","HGCL2",10.6,75.7,229,42.4,0.26,6.64,6.3,51.5,0.02,1.27,,8.22,0.987,3.8,13,46.4,"G2H015Q01","G22H"
101975,1991-01-08 14:15:00,0,"DWS-RQIS","HGCL2",14.3,105.4,301,49.9,0.24,7.72,11.4,63.4,0.06,1.36,,7.48,0.836,3.64,22.2,55.6,"G2H015Q01","G22H"
101975,1991-01-15 15:00:00,0,"DWS-RQIS","HGCL2",14.7,101.4,277,47.9,0.24,6.75,8.5,58.1,0.06,1.1,,7.94,0.391,2.74,16.9,53.1,"G2H015Q01","G22H"
101975,1991-01-22 15:30:00,0,"DWS-RQIS","HGCL2",,,,44.4,,,,,,,,7.5,,,,,"G2H015Q01","G22H"
101975,1991-01-29 15:28:00,0,"DWS-RQIS","HGCL2",12.6,95,283,47.2,0.24,7.24,7.9,60.2,0.02,1.08,,8.07,1.154,3.1,14.3,63.4,"G2H015Q01","G22H"
101975,1991-02-12 15:27:00,0,"DWS-RQIS","HGCL2",10.4,66.1,210,38,0.2,7.47,6.5,47.2,0.056,1.373,,7.83,1.223,3.95,9.4,43.6,"G2H015Q01","G22H"
101975,1991-02-19 15:30:00,0,"DWS-RQIS","HGCL2",,,,35.8,,,,,,,,7.53,,,,,"G2H015Q01","G22H"
101975,1991-02-26 14:26:00,0,"DWS-RQIS","HGCL2",14.1,107.9,328,56.9,0.22,11.02,9.5,74.3,0.109,1.649,,8.27,1.351,4.25,16.2,68.1,"G2H015Q01","G22H"
101975,1991-03-05 15:13:00,0,"DWS-RQIS","HGCL2",11.2,76.4,251,43.5,0.2,10.24,6.9,55,0.046,0.203,,8.23,0.748,4.12,13.3,61,"G2H015Q01","G22H"
101975,1991-03-12 15:42:00,0,"DWS-RQIS","HGCL2",12.1,87.8,271,48.6,0.2,10.29,7.1,58.9,0.107,1.736,,8.38,1.234,4.25,15.4,55.1,"G2H015Q01","G22H"
101975,1991-03-19 15:00:00,0,"DWS-RQIS","HGCL2",11.4,85.9,316,48.7,0.22,14.08,6.8,70.2,0.093,2.511,,7.9,2.116,4.95,17.7,75.5,"G2H015Q01","G22H"
101975,1991-03-26 16:16:00,0,"DWS-RQIS","HGCL2",,,,34.8,,,,,,,,7.71,,,,,"G2H015Q01","G22H"
101975,1991-04-09 15:20:00,0,"DWS-RQIS","HGCL2",15,92.3,285,51.3,0.31,10.23,8.6,61.2,0.06,1.847,,7.69,1.406,5.83,18.7,54.4,"G2H015Q01","G22H"
101975,1991-04-16 15:31:00,0,"DWS-RQIS","HGCL2",19.4,104.1,361,60.8,0.24,13.91,9.6,74,0.085,6.377,,8.22,2.175,6.58,24,66,"G2H015Q01","G22H"
101975,1991-04-23 16:45:00,0,"DWS-RQIS","HGCL2",,,,71,,,,,,,,7.41,,,,,"G2H015Q01","G22H"
101975,1991-04-30 15:05:00,0,"DWS-RQIS","HGCL2",,,,56.4,,,,,,,,7.57,,,,,"G2H015Q01","G22H"
101975,1991-05-07 15:17:00,0,"DWS-RQIS","HGCL2",19.4,134.9,424,72.9,0.22,13.65,11.2,91.1,0.04,7.272,,7.43,2.931,6.36,37.9,61.2,"G2H015Q01","G22H"
101975,1991-05-14 15:11:00,0,"DWS-RQIS","HGCL2",,,,73,,,,,,,,7.4,,,,,"G2H015Q01","G22H"
101975,1991-05-21 15:00:00,0,"DWS-RQIS","HGCL2",19.9,73.3,337,53.9,0.16,19.02,5.9,66.6,0.084,12.662,,6.93,0.115,5.31,31.1,52.8,"G2H015Q01","G22H"
101975,1991-05-28 15:25:00,0,"DWS-RQIS","HGCL2",16.1,87.5,250,38.1,0.14,8.03,8.8,48.1,0.384,2.358,,7.28,0.288,6.03,22.6,38.1,"G2H015Q01","G22H"
101975,1991-06-04 16:30:00,0,"DWS-RQIS","HGCL2",15,84.2,240,36.9,0.14,7.44,8.6,47,0.33,2.452,,7.26,0.323,6.18,18.9,38.3,"G2H015Q01","G22H"
101975,1991-06-11 16:05:00,0,"DWS-RQIS","HGCL2",17.6,83.7,249,45,0.15,8.32,9.4,46.6,0.139,3.391,,7.19,0.262,6.25,19.2,39.1,"G2H015Q01","G22H"
101975,1991-06-18 13:20:00,0,"DWS-RQIS","HGCL2",16,90.8,268,46.7,0.17,9.17,9.1,53.6,0.105,3.833,,7.45,0.32,7.06,21.9,40.7,"G2H015Q01","G22H"
101975,1991-06-25 16:00:00,0,"DWS-RQIS","HGCL2",,,,29.3,,,,,,,,7.19,,,,,"G2H015Q01","G22H"
101975,1991-07-03 16:20:00,0,"DWS-RQIS","HGCL2",16.7,78.3,240,39.6,0.23,7.24,9.4,44.5,0.02,2.376,,7.53,0.144,5.81,20.8,42.5,"G2H015Q01","G22H"
101975,1991-07-09 15:45:00,0,"DWS-RQIS","HGCL2",14.9,67.6,211,39.7,0.12,7.51,9.5,39.2,0.233,2.203,,7.51,0.068,5.59,18.7,35.1,"G2H015Q01","G22H"
101975,1991-07-16 15:20:00,0,"DWS-RQIS","HGCL2",15,69.7,214,39.1,0.18,6.31,8.2,38.2,0.242,1.802,,7.95,0.043,6.13,18.1,40.8,"G2H015Q01","G22H"
101975,1991-07-23 16:00:00,0,"DWS-RQIS","HGCL2",,,,43.1,,,,,,,,7.53,,,,,"G2H015Q01","G22H"
101975,1991-07-30 15:10:00,0,"DWS-RQIS","HGCL2",,,,23.7,,,,,,,,7.49,,,,,"G2H015Q01","G22H"
101975,1991-08-06 15:22:00,0,"DWS-RQIS","HGCL2",,,,37.2,,,,,,,,7.55,,,,,"G2H015Q01","G22H"
101975,1991-08-13 16:15:00,0,"DWS-RQIS","HGCL2",4.5,18,56,10.6,0.2,1.07,2.1,8.9,0.062,0.208,,7.36,0.023,3.92,9.1,9.4,"G2H015Q01","G22H"
101975,1991-08-20 15:20:00,0,"DWS-RQIS","HGCL2",,,,30.4,,,,,,,,6.97,,,,,"G2H015Q01","G22H"
